bright_no_apogee_skies_9x4;9;{0., 30., 30.,  3., 27.,270., 30., 30., 30.};{1.,1.,1.,1.,1.,1.,1.,1.,1.};{0.,1800.,1800.,1800.,1800.,1800.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5};{4,4,4,4,4,4,4,4,4};{0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies"};bright_no_apogee_skies_9x4; 
bright_single_no_apogee_skies_1x2+2x1;3;{0.,30.,30.};{1.,1.,1.};{0.,1800.,1800.};{0. ,0.5,0.5};{2,1,1};{0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies"};bright_single_no_apogee_skies_1x2+2x1; 
bright_flexible_no_apogee_skies_14x1;14;{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1,1,1,1,1,1,1,1,1,1,1,1,1,1};{0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"};bright_flexible_no_apogee_skies_14x1; 
bright_no_apogee_skies_2x2;2;{0.,3.};{1.,1.};{0.,1800.};{0. ,0.5};{2,2};{0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"};bright_no_apogee_skies_2x2; 
bright_flexible_no_apogee_skies_15x1;15;{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1,1,1,1,1,1,1,1,1,1,1,1,1,1,1};{0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies"};bright_flexible_no_apogee_skies_15x1; 
bright_no_apogee_skies_2x2+1x1;3;{0.,30.,30.};{1.,1.,1.};{0.,1800.,1800.};{0. ,0.5,0.5};{2,2,1};{0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies"};bright_no_apogee_skies_2x2+1x1; 
bright_single_no_apogee_skies_2x2;2;{0.,3.};{1.,1.};{0.,1800.};{0. ,0.5};{2,2};{0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"};bright_single_no_apogee_skies_2x2; 
bright_single_no_apogee_skies_2x2+1x1;3;{0.,30.,30.};{1.,1.,1.};{0.,1800.,1800.};{0. ,0.5,0.5};{2,2,1};{0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies"};bright_single_no_apogee_skies_2x2+1x1; 
bright_no_apogee_skies_1x2+3x1;4;{0.,30.,30., 3.};{1.,1.,1.,1.};{0.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5};{2,1,1,1};{0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"};bright_no_apogee_skies_1x2+3x1; 
bright_flexible_no_apogee_skies_16x1;16;{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1};{0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"};bright_flexible_no_apogee_skies_16x1; 
bright_single_no_apogee_skies_1x2+3x1;4;{0.,30.,30., 3.};{1.,1.,1.,1.};{0.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5};{2,1,1,1};{0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"};bright_single_no_apogee_skies_1x2+3x1; 
bright_mc_no_apogee_skies_3x1;3;{0.,0.,0.};{1.,1.,1.};{0.,0.,0.};{0.,0.,0.};{1,1,1};{0.5,0.5,0.5};{"bright_mc_no_apogee_skies","bright_mc_no_apogee_skies"," bright_mc_no_apogee_skies"};bright_mc_no_apogee_skies_3x1; 
bright_flexible_no_apogee_skies_17x1;17;{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1};{0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies"};bright_flexible_no_apogee_skies_17x1; 
dark_no_apogee_skies_1x1;1;{0.};{0.35};{0.};{0.};{1};{0.2};{"dark_plane_no_apogee_skies"};dark_no_apogee_skies_1x1; 
dark_no_apogee_skies_1x2;1;{0.};{0.35};{0.};{0.};{2};{7.};{"dark_plane_no_apogee_skies"};dark_no_apogee_skies_1x2; 
dark_no_apogee_skies_1x3;1;{0.};{0.35};{0.};{0.};{3};{14.};{"dark_faint_no_apogee_skies"};dark_no_apogee_skies_1x3; 
dark_no_apogee_skies_1x4;1;{0.};{0.35};{0.};{0.};{4};{14.};{"dark_faint_no_apogee_skies"};dark_no_apogee_skies_1x4; 
dark_no_apogee_skies_2x1;2;{0.,3.};{0.35,0.35};{0.,1800.};{0. ,0.5};{1,1};{0.2,0.2};{"dark_plane_no_apogee_skies","dark_plane_no_apogee_skies"};dark_no_apogee_skies_2x1; 
dark_no_apogee_skies_2x2;2;{0.,3.};{0.35,0.35};{0.,14.};{0. ,0.5};{2,2};{0.2,0.2};{"dark_faint_no_apogee_skies","dark_faint_no_apogee_skies"};dark_no_apogee_skies_2x2; 
dark_no_apogee_skies_2x4;2;{0.,365.};{0.35,0.35};{0.,1800.};{0.,300.};{4,4};{14.,14.};{"dark_monit_no_apogee_skies","dark_monit_no_apogee_skies"};dark_no_apogee_skies_2x4; 
dark_no_apogee_skies_3x4;3;{0.,365.,365.};{0.35,0.35,0.35};{0.,600.,600.};{0.,300.,300.};{4,4,4};{14.,14.,14.};{"dark_monit_no_apogee_skies","dark_monit_no_apogee_skies"," dark_monit_no_apogee_skies"};dark_no_apogee_skies_3x4; 
bright_flexible_no_apogee_skies_18x1;18;{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1};{0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"};bright_flexible_no_apogee_skies_18x1; 
bright_no_apogee_skies_2x2+2x1;4;{0.,30.,30., 3.};{1.,1.,1.,1.};{0.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5};{2,2,1,1};{0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"};bright_no_apogee_skies_2x2+2x1; 
mixed2_single_no_apogee_skies_3x1;3;{0., 3.,-1.};{0.35,0.35,1.};{0.0e+00, 1.8e+03,-1.0e+00};{0. , 0.5,-1.};{1,1,1};{0.2,0.2,0.2};{"dark_plane_no_apogee_skies","dark_plane_no_apogee_skies"," bright_time_no_apogee_skies"};mixed2_single_no_apogee_skies_3x1; 
